Bird Name,French Name,Image URL,Sound URL,Score,Difficulty,View Count,Latin Name
Cory's Shearwater,Puffin boréal,https://upload.wikimedia.org/wikipedia/commons/3/31/Cory%27s_Shearwater_from_the_Crossley_ID_Guide_Britain_and_Ireland_crop.jpg,https://xeno-canto.org/945948/download,0,3,4,Calonectris borealis
Scopoli's Shearwater,Puffin de Scopoli,https://upload.wikimedia.org/wikipedia/commons/d/d2/Scopoli%27s_Shearwater.jpg,https://xeno-canto.org/919307/download,0,2,3901,Calonectris diomedea
Cape Verde Shearwater,Puffin du Cap-Vert,https://upload.wikimedia.org/wikipedia/commons/e/e5/Cape_Verde_Shearwater_imported_from_iNaturalist_photo_9221156_on_21_April_2022.jpg,https://xeno-canto.org/718760/download,0,3,290,Calonectris edwardsii
Flesh-footed Shearwater,Puffin à pieds pâles,https://upload.wikimedia.org/wikipedia/commons/5/5e/Flesh-footed_Shearwater_imported_from_iNaturalist_photo_361326826_on_15_June_2024.jpg,https://xeno-canto.org/794888/download,0,3,280,Ardenna carneipes
Great Shearwater,Ardenna gravis,https://upload.wikimedia.org/wikipedia/commons/4/48/Greater_shearwater_%28Ardenna_gravis%29_Sagres.jpg,https://xeno-canto.org/936583/download,0,3,32,Ardenna gravis
Buller's Shearwater,Puffin de Buller,https://upload.wikimedia.org/wikipedia/commons/e/ed/Buller%27s_Shearwater_0A2A8858.jpg,https://xeno-canto.org/854364/download,0,3,173,Ardenna bulleri
Sooty Shearwater,Puffin fuligineux,https://upload.wikimedia.org/wikipedia/commons/4/49/Puffinus_griseus_in_flight_-_SE_Tasmania.jpg,https://xeno-canto.org/845182/download,0,2,3217,Ardenna grisea
Short-tailed Shearwater,Ardenna tenuirostris,https://upload.wikimedia.org/wikipedia/commons/f/fb/Puffinus_tenuirostris_-_SE_Tasmania.jpg,https://xeno-canto.org/859662/download,0,3,28,Ardenna tenuirostris
Manx Shearwater,Puffin des Anglais,https://upload.wikimedia.org/wikipedia/commons/8/8e/Manx_Shearwater.JPG,https://xeno-canto.org/928917/download,0,3,58,Puffinus puffinus
Yelkouan Shearwater,Puffin yelkouan,https://upload.wikimedia.org/wikipedia/commons/6/68/Puffinus_yelkouan_140249998.jpg,https://xeno-canto.org/973359/download,0,3,1560,Puffinus yelkouan
Balearic Shearwater,Puffin des Baléares,https://upload.wikimedia.org/wikipedia/commons/6/62/Puffinus_mauretanicus.jpg,https://xeno-canto.org/645385/download,0,3,1718,Puffinus mauretanicus
Barolo Shearwater,Puffin de Macaronésie,https://upload.wikimedia.org/wikipedia/commons/9/96/Barolo_Shearwater.jpg,https://xeno-canto.org/565411/download,0,3,194,
Boyd's Shearwater,Puffin de Boyd,https://upload.wikimedia.org/wikipedia/commons/b/b2/Puffinus_boydi.jpg,https://xeno-canto.org/871372/download,0,3,40,
Black Stork,Cigogne noire,https://upload.wikimedia.org/wikipedia/commons/b/ba/Ciconia_nigra_-Kruger_National_Park-8.jpg,https://xeno-canto.org/980027/download,0,2,14909,Ciconia nigra
White Stork,Cigogne blanche,https://upload.wikimedia.org/wikipedia/commons/1/13/White_stork_%28Ciconia_ciconia%29_Bia%C5%82owieza.jpg,https://xeno-canto.org/975960/download,0,1,57271,Ciconia ciconia
Marabou Stork,Marabout d'Afrique,https://upload.wikimedia.org/wikipedia/commons/0/05/Marabou_stork_%28Leptoptilos_crumenifer%29.jpg,https://xeno-canto.org/508623/download,0,3,0,Leptoptilos crumenifer
Yellow-billed Stork,Tantale ibis,https://upload.wikimedia.org/wikipedia/commons/3/3e/Yellow-billed_Stork_%28Mycteria_ibis%29_%286045310265%29.jpg,https://xeno-canto.org/131912/download,0,2,2037,Mycteria ibis
Ascension Frigatebird,Frégate aigle-de-mer,https://upload.wikimedia.org/wikipedia/commons/e/eb/Male_Frigatebird_with_chick_Fregata_aquila.jpg,https://xeno-canto.org/314486/download,0,3,840,Fregata aquila
Magnificent Frigatebird,Frégate superbe,https://upload.wikimedia.org/wikipedia/commons/e/e4/Fregata_magnificens_-Galapagos%2C_Ecuador_-male-8_%281%29.jpg,https://xeno-canto.org/927123/download,0,2,8861,Fregata magnificens
Northern Gannet,Fou de Bassan,https://upload.wikimedia.org/wikipedia/commons/2/2d/Morus_bassanus_adu.jpg,https://xeno-canto.org/438348/download,0,3,207,Morus bassanus
Cape Gannet,Fou du Cap,https://upload.wikimedia.org/wikipedia/commons/b/b1/Cape_gannet_sideview.jpg,https://xeno-canto.org/515403/download,0,3,1506,Morus capensis
Red-footed Booby,Fou à pieds rouges,https://upload.wikimedia.org/wikipedia/commons/4/45/Sula_sula_by_Gregg_Yan_01.jpg,https://xeno-canto.org/815569/download,0,2,5291,Sula sula
Brown Booby,Fou brun,https://upload.wikimedia.org/wikipedia/commons/0/08/Brown_boobytern.JPG,https://xeno-canto.org/927122/download,0,2,3851,Sula leucogaster
Masked Booby,Fou masqué,https://upload.wikimedia.org/wikipedia/commons/d/d2/Starr_080606-6808_Coronopus_didymus.jpg,https://xeno-canto.org/730161/download,0,2,3097,Sula dactylatra
Reed Cormorant,Cormoran africain,https://upload.wikimedia.org/wikipedia/commons/a/ad/Cormor%C3%A1n_africano_%28Microcarbo_africanus%29%2C_parque_nacional_de_Chobe%2C_Botsuana%2C_2018-07-28%2C_DD_48.jpg,https://xeno-canto.org/860402/download,0,3,1383,Microcarbo africanus
Pygmy Cormorant,Cormoran pygmée,https://upload.wikimedia.org/wikipedia/commons/7/72/Phalacrocorax_pygmeus_1_%28Martin_Mecnarowski%29.jpg,https://xeno-canto.org/826114/download,0,3,1142,Microcarbo pygmaeus
Pallas's Cormorant,Cormoran de Pallas,https://upload.wikimedia.org/wikipedia/commons/e/ee/ExtbPallusCormorantovw.jpg,,0,3,1,Phalacrocorax perspicillatus
Great Cormorant,Grand Cormoran,https://upload.wikimedia.org/wikipedia/commons/c/c3/2021-05-05_Phalacrocorax_carbo_carbo%2C_Killingworth_Lake%2C_Northumberland_1-1.jpg,https://xeno-canto.org/981347/download,0,3,1063,Phalacrocorax carbo
European Shag,Cormoran huppé,https://upload.wikimedia.org/wikipedia/commons/6/63/Shag_Phalacrocorax_aristotelis.jpg,https://xeno-canto.org/908645/download,0,2,10295,Gulosus aristotelis
Double-crested Cormorant,Cormoran à aigrettes,https://upload.wikimedia.org/wikipedia/commons/f/fb/Phalacrocorax-auritus-007.jpg,https://xeno-canto.org/898918/download,0,2,3865,Nannopterum auritum
Glossy Ibis,Ibis falcinelle,https://upload.wikimedia.org/wikipedia/commons/a/a3/Glossy_ibis.png,https://xeno-canto.org/951356/download,0,2,5752,Plegadis falcinellus
African Sacred Ibis,Ibis sacré,https://upload.wikimedia.org/wikipedia/commons/7/7e/Sacred_ibis_%28Threskiornis_aethiopicus%29.jpg,https://xeno-canto.org/651807/download,0,2,11107,Threskiornis aethiopicus
Northern Bald Ibis,Ibis chauve,https://upload.wikimedia.org/wikipedia/commons/4/44/Northern_Bald_Ibis_Geronticus_eremita_%288470600428%29.jpg,https://xeno-canto.org/361538/download,0,2,17446,Geronticus eremita
Eurasian Spoonbill,Spatule blanche,https://upload.wikimedia.org/wikipedia/commons/8/8c/Eurasian_Spoonbill-2.jpg,https://xeno-canto.org/911426/download,0,2,8158,Platalea leucorodia
African Spoonbill,Spatule d'Afrique,https://upload.wikimedia.org/wikipedia/commons/2/2f/African_spoonbill_%28Platalea_alba%29.jpg,https://xeno-canto.org/611674/download,0,3,1169,Platalea alba
Great White Pelican,Pélican blanc,https://upload.wikimedia.org/wikipedia/commons/d/dd/Great_white_pelican_%28Pelecanus_onocrotalus%29.jpg,https://xeno-canto.org/331138/download,0,2,9724,Pelecanus onocrotalus
Pink-backed Pelican,Pélican gris,https://upload.wikimedia.org/wikipedia/commons/6/64/Pink_backed_pelican_side_view.jpg,https://xeno-canto.org/862719/download,0,2,2021,Pelecanus rufescens
Dalmatian Pelican,Pélican frisé,https://upload.wikimedia.org/wikipedia/commons/3/37/ComputerHotline_-_Pelecanus_crispus_%28by%29_%281%29.jpg,https://xeno-canto.org/331137/download,0,2,6720,Pelecanus crispus
Eurasian Bittern,Butor étoilé,https://upload.wikimedia.org/wikipedia/commons/3/3b/Eurasian_Bittern_-_Torrile_-_Italy_4528_%2815409347121%29.jpg,https://xeno-canto.org/981988/download,0,2,9801,Botaurus stellaris
American Bittern,Butor d'Amérique,https://upload.wikimedia.org/wikipedia/commons/8/8d/Botaurus_lentiginosus_28079.JPG,https://xeno-canto.org/906725/download,0,2,2608,Botaurus lentiginosus
Least Bittern,Petit Blongios,https://upload.wikimedia.org/wikipedia/commons/b/bf/Least_Bittern_For_Wiki.png,https://xeno-canto.org/492427/download,0,3,46,Ixobrychus exilis
Schrenck's Bittern,Blongios de Schrenck,https://upload.wikimedia.org/wikipedia/commons/f/f7/Ixobrychus_eurhythmus_by_OpenCage.jpg,https://xeno-canto.org/267203/download,0,3,215,Ixobrychus eurhythmus
Dwarf Bittern,Blongios de Sturm,https://upload.wikimedia.org/wikipedia/commons/5/51/BitternDwarf.jpg,https://xeno-canto.org/792321/download,0,3,239,Ixobrychus sturmii
Little Bittern,Blongios nain,https://upload.wikimedia.org/wikipedia/commons/4/49/Zwergdommel.jpg,https://xeno-canto.org/978098/download,0,2,5959,Ixobrychus minutus
Yellow-crowned Night Heron,Bihoreau violacé,https://upload.wikimedia.org/wikipedia/commons/d/d1/Yellow-crowned_Night_Heron_in_Cape_May_County%2C_New_Jersey.png,https://xeno-canto.org/982777/download,0,2,2025,Nyctanassa violacea
Black-crowned Night Heron,Bihoreau gris,https://upload.wikimedia.org/wikipedia/commons/a/a1/Nycticorax_nycticorax_457953189.jpg,https://xeno-canto.org/972849/download,0,2,18304,Nycticorax nycticorax
Little Blue Heron,Aigrette bleue,https://upload.wikimedia.org/wikipedia/commons/7/77/Egretta_caerulea_-Cananeia%2C_Sao_Paulo%2C_Brasil-8.jpg,https://xeno-canto.org/878467/download,0,3,1644,Egretta caerulea
Tricolored Heron,Aigrette tricolore,https://upload.wikimedia.org/wikipedia/commons/1/10/Tricolored_Heron_by_Dan_Pancamo.jpg,https://xeno-canto.org/166593/download,0,3,944,Egretta tricolor
Black Heron,Aigrette ardoisée,https://upload.wikimedia.org/wikipedia/commons/2/25/Black_heron%2C_Egretta_ardesiaca%2C_at_Marievale_Nature_Reserve%2C_Gauteng%2C_South_Africa._%2825201552667%29.jpg,https://xeno-canto.org/973474/download,0,2,3539,Nycticorax nycticorax
Snowy Egret,Aigrette neigeuse,https://upload.wikimedia.org/wikipedia/commons/2/2f/SnowyEgret_Gam.jpg,https://xeno-canto.org/559898/download,0,2,3977,Egretta thula
Little Egret,Aigrette garzette,https://upload.wikimedia.org/wikipedia/commons/f/f1/Little_egret_%28Egretta_garzetta%29_Photograph_by_Shantanu_Kuveskar.jpg,https://xeno-canto.org/979922/download,0,2,31824,Egretta garzetta
Western Reef-Heron,Aigrette à gorge blanche,https://upload.wikimedia.org/wikipedia/commons/8/86/Western_reef_egret_%28Egretta_gularis_schistacea%29_dark_morph.jpg,,0,3,1497,Egretta gularis
Striated Heron,Héron strié,https://upload.wikimedia.org/wikipedia/commons/0/07/Striated_heron_%28Butorides_striata_striata%29.JPG,https://xeno-canto.org/961357/download,0,2,2565,Butorides striata
Green Heron,Héron vert,https://upload.wikimedia.org/wikipedia/commons/f/f3/Butorides_virescens2.jpg,https://xeno-canto.org/957415/download,0,2,3989,Butorides virescens
Squacco Heron,Crabier chevelu,https://upload.wikimedia.org/wikipedia/commons/6/6e/Crabier_chevelu.jpg,https://xeno-canto.org/973568/download,0,2,3085,Ardeola ralloides
Indian Pond-Heron,Crabier de Gray,https://upload.wikimedia.org/wikipedia/commons/5/55/Indian_pond_heron_%28Ardeola_grayii%29_non_breeding.jpg,,0,3,535,Ardeola grayii
Chinese Pond-Heron,Crabier chinois,https://upload.wikimedia.org/wikipedia/commons/6/63/Chinese_Pond_Heron_in_Summer.jpg,,0,3,456,Ardeola bacchus
Great Egret,Grande aigrette,https://upload.wikimedia.org/wikipedia/commons/1/1e/Great_Egret_Breeding_Plumage.png,https://xeno-canto.org/982464/download,0,2,2216,Ardea alba
Yellow-billed Egret,Héron à bec jaune (Ardea intermedia brachyrhyncha),https://upload.wikimedia.org/wikipedia/commons/4/45/Egretta_intermedia00.jpg,,0,3,676,Ardea intermedia brachyrhyncha
Medium Egret,Héron intermédiaire (Ardea intermedia),https://upload.wikimedia.org/wikipedia/commons/f/fe/Intermediate_Egret_%2823385032726%29.jpg,,0,3,1985,Ardea intermedia
Gray Heron,Héron cendré,https://upload.wikimedia.org/wikipedia/commons/0/09/Graureiher_Grey_Heron.jpg,,0,1,62732,Ardea herodias
Great Blue Heron,Grand Héron,https://upload.wikimedia.org/wikipedia/commons/f/f1/GreatBlueHeronInARiver.jpg,https://xeno-canto.org/560546/download,0,3,217,Ardea herodias
Purple Heron,Héron pourpré,https://upload.wikimedia.org/wikipedia/commons/5/5b/Purple_heron_-_Vadodara_2022-01-08.jpg,https://xeno-canto.org/976224/download,0,2,6748,Ardea purpurea
Black-headed Heron,Héron mélanocéphale,https://upload.wikimedia.org/wikipedia/commons/0/0b/Black-headed_Heron_%28Ardea_melanocephala%29.jpg,https://xeno-canto.org/947948/download,0,3,1258,Ardea melanocephala
Osprey,Balbuzard pêcheur,https://upload.wikimedia.org/wikipedia/commons/0/0b/Osprey_on_nest.jpg,https://xeno-canto.org/982371/download,0,2,45519,Pandion haliaetus
Black-winged Kite,Élanion blanc,https://upload.wikimedia.org/wikipedia/commons/2/28/Black-shouldered_Kite_%28Elanus_caeruleus%29_in_Hyderabad_W_IMG_4418.jpg,https://xeno-canto.org/352477/download,0,3,123,Elanus caeruleus
Bearded Vulture,Gypaète barbu,https://upload.wikimedia.org/wikipedia/commons/c/cf/010e_Wild_Bearded_Vulture_in_flight_at_Pfyn-Finges_%28Switzerland%29_Photo_by_Giles_Laurent.jpg,https://xeno-canto.org/474567/download,0,1,92062,Gypaetus barbatus
Egyptian Vulture,Percnoptère,https://upload.wikimedia.org/wikipedia/commons/e/ee/Egyptian_Vulture_%2818208369344%29.jpg,https://xeno-canto.org/654205/download,0,2,17288,Neophron percnopterus
European Honey-buzzard,Bondrée apivore,https://upload.wikimedia.org/wikipedia/commons/6/6d/Wespenbussard_European_honey_buzzard_Pernis_apivorus%2C_crop.jpg,,0,2,37159,Pernis apivorus
Oriental Honey-buzzard,Bondrée orientale,https://upload.wikimedia.org/wikipedia/commons/5/5d/Oriental_honey_buzzard_Mudumalai_Mar21_DSC01405.jpg,,0,3,942,Pernis ptilorhynchus
Swallow-tailed Kite,Milan à queue fourchue,https://upload.wikimedia.org/wikipedia/commons/e/e0/Swallow-tailed_Kite_%2834163638494%29.jpg,https://xeno-canto.org/531920/download,0,3,288,Elanoides forficatus
Cinereous Vulture,Vautour moine,https://upload.wikimedia.org/wikipedia/commons/e/e2/Buitre_negro_%281%29.jpg,https://xeno-canto.org/917405/download,0,2,12469,Aegypius monachus
Lappet-faced Vulture,Vautour oricou,https://upload.wikimedia.org/wikipedia/commons/b/b4/2012-lappet-faced-vulture.jpg,,0,2,3510,Torgos tracheliotos
Hooded Vulture,Vautour charognard,https://upload.wikimedia.org/wikipedia/commons/4/4d/Hooded_vulture_%28Necrosyrtes_monachus%29.jpg,https://xeno-canto.org/277866/download,0,2,4474,Necrosyrtes monachus
Himalayan Griffon,Vautour de l'Himalaya,https://upload.wikimedia.org/wikipedia/commons/a/a1/Himalayan_Griffon_%28Gyps_himalayensis%29.jpg,,0,3,1758,Gyps himalayensis
White-backed Vulture,Vautour africain,https://upload.wikimedia.org/wikipedia/commons/d/d3/2012-white-backed-vulture.jpg,https://xeno-canto.org/978231/download,0,2,3710,Gyps africanus
Rüppell's Griffon,Gyps rueppelli,https://upload.wikimedia.org/wikipedia/commons/0/00/R%C3%BCppell%27s_Vulture_%28Gyps_rueppelli%29_%2821160089681%29.jpg,,0,3,98,Gyps rueppelli
Eurasian Griffon,Vautour fauve,https://upload.wikimedia.org/wikipedia/commons/4/49/Gyps_fulvus_in_flight_-_Spain.jpg,,0,2,43368,Gyps fulvus
