Latin Name,Score,Difficulty,Sound URL,Image URL,Bird Name,French Name,View Count
Mergus merganser,0,2,https://xeno-canto.org/959402/download,https://upload.wikimedia.org/wikipedia/commons/b/be/Mergus_merganser_-Sandwell_-England_-male-8.jpg,Common Merganser,Harle bièvre,14112
Mergus serrator,0,2,https://xeno-canto.org/571300/download,https://upload.wikimedia.org/wikipedia/commons/6/65/Mergus_serrator_-New_Jersey_-USA_-winter-8.jpg,Red-breasted Merganser,Harle huppé,3290
Oxyura jamaicensis,0,2,https://xeno-canto.org/215359/download,https://upload.wikimedia.org/wikipedia/commons/b/ba/Ruddy_Duck_%28Oxyura_jamaicensis%29_RWD2.jpg,Ruddy Duck,Érismature rousse,2714
Oxyura leucocephala,0,2,https://xeno-canto.org/462959/download,https://upload.wikimedia.org/wikipedia/commons/0/05/Whiteheadduck.jpg,White-headed Duck,Érismature à tête blanche,2302
Numida meleagris,0,2,https://xeno-canto.org/981311/download,https://upload.wikimedia.org/wikipedia/commons/a/af/Numida_meleagris_-Serengeti_National_Park%2C_Tanzania-8_%281%29.jpg,Helmeted Guineafowl,Pintade de Numidie,9774
Colinus virginianus,0,3,https://xeno-canto.org/919215/download,https://upload.wikimedia.org/wikipedia/commons/0/0c/Virginiawachtel_2007-06-16_065.jpg,Northern Bobwhite,Colin de Virginie,4
Callipepla californica,0,3,https://xeno-canto.org/570687/download,https://upload.wikimedia.org/wikipedia/commons/a/aa/California_quail.jpg,California Quail,Colin de Californie,7
Tetrastes bonasia,0,2,https://xeno-canto.org/982129/download,https://upload.wikimedia.org/wikipedia/commons/a/ab/Hazel_Grouse_imported_from_iNaturalist_photo_116195913_on_11_June_2024.jpg,Hazel Grouse,Gélinotte des bois,11708
Lagopus lagopus,0,2,https://xeno-canto.org/971601/download,https://upload.wikimedia.org/wikipedia/commons/e/ec/Lagopus_lagopus_adult_%28Denali%2C_2010%29.jpg,Willow Ptarmigan,Lagopède des saules,7347
Lagopus muta,0,2,https://xeno-canto.org/487317/download,https://upload.wikimedia.org/wikipedia/commons/1/1f/Rock_Ptarmigan_%28Lagopus_Muta%29.jpg,Rock Ptarmigan,Lagopède alpin,21039
Tetrao urogallus,0,3,https://xeno-canto.org/942012/download,https://upload.wikimedia.org/wikipedia/commons/a/a3/Capercaillie_%288751340764%29.jpg,Western Capercaillie,Grand Tétras,1839
Lyrurus tetrix,0,2,https://xeno-canto.org/940956/download,https://upload.wikimedia.org/wikipedia/commons/b/bf/Black_Grouse_Nationalpark_Bayerischer_Wald.jpg,Black Grouse,Tétras lyre,23649
Lyrurus mlokosiewiczi,0,3,https://xeno-canto.org/178542/download,https://upload.wikimedia.org/wikipedia/commons/6/60/Tetras_du_caucase_jogo_0g.jpg,Caucasian Grouse,Tétras du Caucase,1
Perdix perdix,0,2,https://xeno-canto.org/980429/download,https://upload.wikimedia.org/wikipedia/commons/3/31/Perdix_perdix_Turvey_3.jpg,Gray Partridge,Perdrix grise,17752
Syrmaticus reevesii,0,2,https://xeno-canto.org/824070/download,https://upload.wikimedia.org/wikipedia/commons/0/08/BxZ_Syrmaticus_reevesii_00.jpg,Reeves's Pheasant,Faisan vénéré,11635
Chrysolophus amherstiae,0,2,https://xeno-canto.org/916158/download,https://upload.wikimedia.org/wikipedia/commons/5/50/Chrysolophus_amherstiae_18092009.jpg,Lady Amherst's Pheasant,Faisan de Lady Amherst,3760
Phasianus colchicus,0,2,https://xeno-canto.org/986301/download,https://upload.wikimedia.org/wikipedia/commons/7/79/Common_pheasant_%28Phasianus_colchicus%29_cock_2.jpg,Ring-necked Pheasant,Faisan de Colchide,25692
Francolinus francolinus,0,3,https://xeno-canto.org/964969/download,https://upload.wikimedia.org/wikipedia/commons/9/9d/Black_Francolin.jpg,Black Francolin,Francolin noir,737
Tetraogallus caucasicus,0,3,https://xeno-canto.org/678203/download,https://upload.wikimedia.org/wikipedia/commons/d/d2/Tetraogallus_caucasicus.jpg,Caucasian Snowcock,Tétraogalle du Caucase,334
Coturnix coturnix,0,2,https://xeno-canto.org/921943/download,https://upload.wikimedia.org/wikipedia/commons/4/4f/Coturnix_coturnix%2C_Fraunberg%2C_Bayern%2C_Deutschland_1%2C_Ausschnitt.jpg,Common Quail,Caille des blés,13509
Alectoris barbara,0,2,https://xeno-canto.org/134392/download,https://upload.wikimedia.org/wikipedia/commons/0/0c/Alectoris_barbara_Tenerife.jpg,Barbary Partridge,Perdrix gambra,3471
Alectoris rufa,0,2,https://xeno-canto.org/961521/download,https://upload.wikimedia.org/wikipedia/commons/8/8c/Perdrix_rouge.jpg,Red-legged Partridge,Perdrix rouge,17193
Alectoris graeca,0,2,https://xeno-canto.org/951745/download,https://upload.wikimedia.org/wikipedia/commons/5/52/Steinhuhn_Alectoris_graeca.jpg,Rock Partridge,Perdrix bartavelle,19461
Columba livia,0,1,https://xeno-canto.org/821258/download,https://upload.wikimedia.org/wikipedia/commons/b/b7/Columba_livia_Baltasound_Shetland_1.jpg,Rock Pigeon,Pigeon biset,56794
Columba oenas,0,2,https://xeno-canto.org/976831/download,https://upload.wikimedia.org/wikipedia/commons/b/b5/2019-03-17_Columba_oenas%2C_Jesmond_Dene_1.jpg,Stock Dove,Pigeon colombin,9543
Columba palumbus,0,1,https://xeno-canto.org/990589/download,https://upload.wikimedia.org/wikipedia/commons/f/f5/Columba_palumbus_-garden_post-8.jpg,Common Wood-Pigeon,Pigeon ramier,112036
Columba trocaz,0,3,https://xeno-canto.org/962011/download,https://upload.wikimedia.org/wikipedia/commons/f/f5/Trocaz_Pigeon_Madeira.jpg,Trocaz Pigeon,Pigeon trocaz,1954
Columba bollii,0,3,https://xeno-canto.org/899826/download,https://upload.wikimedia.org/wikipedia/commons/b/b7/Lorbeertaube3_3.jpg,Bolle's Pigeon,Pigeon de Bolle,1
Columba junoniae,0,3,https://xeno-canto.org/899830/download,https://upload.wikimedia.org/wikipedia/commons/a/a6/Columba_junoniae_163958122.jpg,Laurel Pigeon,Pigeon des lauriers,1027
Ectopistes migratorius,0,2,,https://upload.wikimedia.org/wikipedia/commons/0/03/Bird_lore_%281913%29_%2814562557107%29.jpg,Passenger Pigeon,Tourte voyageuse,16510
Streptopelia turtur,0,2,https://xeno-canto.org/927930/download,https://upload.wikimedia.org/wikipedia/commons/e/ec/Turtle_dove_%28Streptopelia_turtur_turtur%29_Hungary.jpg,European Turtle-Dove,Tourterelle des bois,19771
Streptopelia orientalis,0,3,https://xeno-canto.org/983811/download,https://upload.wikimedia.org/wikipedia/commons/9/9f/Av_Oriental_Turtle-Dove_JG.jpg,Oriental Turtle-Dove,Tourterelle orientale,1818
Streptopelia decaocto,0,1,https://xeno-canto.org/972518/download,https://upload.wikimedia.org/wikipedia/commons/f/fa/2022-04-06_Streptopelia_decaocto%2C_Plovdiv%2C_Bulgaria_1.jpg,Eurasian Collared-Dove,Tourterelle turque,69793
Streptopelia decaocto,0,2,https://xeno-canto.org/990767/download,https://upload.wikimedia.org/wikipedia/commons/1/11/Streptopelia_roseogrisea%2C_Waza_NP%2C_Cameroon_%28cropped%29.jpg,African Collared-Dove,Tourterelle rieuse,5435
Spilopelia senegalensis,0,2,https://xeno-canto.org/954435/download,https://upload.wikimedia.org/wikipedia/commons/6/6c/Laughing_dove_-_Vadodara_2022-01-28.jpg,Laughing Dove,Tourterelle maillée,4213
Oena capensis,0,3,https://xeno-canto.org/951388/download,https://upload.wikimedia.org/wikipedia/commons/b/ba/Oena_capensis_-near_Kambi_ya_Tembo%2C_Arusha%2C_Tanzania-8%2C_crop.jpg,Namaqua Dove,Tourterelle masquée,1356
Zenaida macroura,0,2,https://xeno-canto.org/799860/download,https://upload.wikimedia.org/wikipedia/commons/3/3d/Zenaida_Dove%2C_St._Thomas.jpg,Zenaida Dove,Tourterelle à queue carrée,2613
Zenaida macroura,0,2,https://xeno-canto.org/940517/download,https://upload.wikimedia.org/wikipedia/commons/a/aa/Av_Mourning_Dove_JG.jpg,Mourning Dove,Tourterelle triste,22135
Syrrhaptes paradoxus,0,3,https://xeno-canto.org/833432/download,https://upload.wikimedia.org/wikipedia/commons/9/91/Syrrhaptes_paradoxus_%28J%C3%A1n_Svetl%C3%ADk%29.jpg,Pallas's Sandgrouse,Syrrhapte paradoxal,696
Pterocles alchata,0,2,https://xeno-canto.org/975934/download,https://upload.wikimedia.org/wikipedia/commons/8/8c/Pin-tailed_sandgrouse_%28Pterocles_alchata%29.jpg,Pin-tailed Sandgrouse,Ganga cata,2765
Pterocles senegallus,0,3,https://xeno-canto.org/527579/download,https://upload.wikimedia.org/wikipedia/commons/9/95/Spotted_sandgrouse_%28cropped%29.jpg,Spotted Sandgrouse,Ganga tacheté,220
Pterocles orientalis,0,3,https://xeno-canto.org/972267/download,https://upload.wikimedia.org/wikipedia/commons/2/21/Pterocles_orientalis_in_flight.jpg,Black-bellied Sandgrouse,Ganga unibande,717
Otis tarda,0,3,https://xeno-canto.org/922367/download,https://upload.wikimedia.org/wikipedia/commons/9/90/Drop_f%C3%BAzat%C3%BD_%28Otis_tarda%29_%282416576086%29.jpg,Great Bustard,Grande Outarde,714
Chlamydotis undulata,0,2,https://xeno-canto.org/644134/download,https://upload.wikimedia.org/wikipedia/commons/4/45/Houbara035.JPG,African Houbara,Outarde houbara,7566
Chlamydotis macqueenii,0,3,,https://upload.wikimedia.org/wikipedia/commons/c/cc/MacQueens_Bustard_in_Greater_Rann_of_Kutch%2C_Gujarat%2C_India.jpg,Asian Houbara,Outarde de Macqueen,751
Tetrax tetrax,0,2,https://xeno-canto.org/972738/download,https://upload.wikimedia.org/wikipedia/commons/9/92/Little_Bustard_%28Tetrax_tetrax%29%2C_Castuera%2C_Extremadura%2C_Spain.jpg,Little Bustard,Outarde canepetière,21737
Clamator glandarius,0,2,https://xeno-canto.org/545287/download,https://upload.wikimedia.org/wikipedia/commons/9/91/Clamator_glandarius_%28cropped_2%29.jpg,Great Spotted Cuckoo,Coucou geai,4393
Coccyzus americanus,0,3,https://xeno-canto.org/901133/download,https://upload.wikimedia.org/wikipedia/commons/a/aa/Yellow-billed_cuckoo_%2842690%29.jpg,Yellow-billed Cuckoo,Coulicou à bec jaune,985
Coccyzus americanus,0,3,https://xeno-canto.org/807265/download,https://upload.wikimedia.org/wikipedia/commons/6/67/Black-billed-cuckoo2.jpg,Black-billed Cuckoo,Coulicou à bec noir,1405
Hierococcyx hyperythrus,0,3,https://xeno-canto.org/805631/download,https://upload.wikimedia.org/wikipedia/commons/9/97/Hodgson%27s_Hawk_Cuckoo%2C_Cherapunjee%2C_Meghalaya%2C_India.jpg,Northern Hawk-Cuckoo,Coucou de Hodgson,67
Cuculus saturatus,0,3,https://xeno-canto.org/957225/download,https://upload.wikimedia.org/wikipedia/commons/f/fc/Himalayan_Cuckoo_Gnathang_Valley_East_Sikkim_India_23.09.2018.jpg,Himalayan Cuckoo,Coucou de l'Himalaya,265
Cuculus canorus,0,1,https://xeno-canto.org/982392/download,https://upload.wikimedia.org/wikipedia/commons/1/14/Cuculus_canorus_vogelartinfo_chris_romeiks_CHR0791_cropped.jpg,Common Cuckoo,Coucou gris,96074
Cuculus optatus,0,3,https://xeno-canto.org/903270/download,https://upload.wikimedia.org/wikipedia/commons/8/80/Oriental_Cuckoo_Maiala.JPG,Oriental Cuckoo,Coucou oriental,272
