Latin Name,Bird Name,French Name,Difficulty,View Count,URL anglais,URL français,Image Low,Image High,Sound URL,Score
Aethia cristatella,Crested Auklet,Starique cristatelle,3,671,https://en.wikipedia.org/wiki/Crested_Auklet,https://fr.wikipedia.org/wiki/Starique_cristatelle,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Aethia_cristatella.jpg/500px-Aethia_cristatella.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Aethia_cristatella.jpg/1024px-Aethia_cristatella.jpg,https://xeno-canto.org/106006/download,0
Aethia psittacula,Parakeet Auklet,Starique perroquet,3,255,https://en.wikipedia.org/wiki/Parakeet_Auklet,https://fr.wikipedia.org/wiki/Starique_perroquet,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Parakeetauklets2.jpg/500px-Parakeetauklets2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Parakeetauklets2.jpg/1024px-Parakeetauklets2.jpg,https://xeno-canto.org/101454/download,0
Agelaius phoeniceus,Red-winged Blackbird,Carouge à épaulettes,2,20230,https://en.wikipedia.org/wiki/Red-winged_Blackbird,https://fr.wikipedia.org/wiki/Carouge_%C3%A0_%C3%A9paulettes,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Red-Winged_Blackbird.png/500px-Red-Winged_Blackbird.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Red-Winged_Blackbird.png/1024px-Red-Winged_Blackbird.png,https://xeno-canto.org/972032/download,0
Agropsar sturninus,Daurian Starling,Étourneau de Daourie,3,369,https://en.wikipedia.org/wiki/Daurian_Starling,https://fr.wikipedia.org/wiki/%C3%89tourneau_de_Daourie,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Agropsar_sturninus_-_Kent_Ridge_Park.jpg/500px-Agropsar_sturninus_-_Kent_Ridge_Park.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Agropsar_sturninus_-_Kent_Ridge_Park.jpg/1024px-Agropsar_sturninus_-_Kent_Ridge_Park.jpg,https://xeno-canto.org/574135/download,0
Aix galericulata,Mandarin Duck,Canard mandarin,2,20223,https://en.wikipedia.org/wiki/Mandarin_Duck,https://fr.wikipedia.org/wiki/Canard_mandarin,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Pair_of_mandarin_ducks.jpg/500px-Pair_of_mandarin_ducks.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Pair_of_mandarin_ducks.jpg/1024px-Pair_of_mandarin_ducks.jpg,https://xeno-canto.org/974788/download,0
Aix sponsa,Wood Duck,Canard branchu,2,8462,https://en.wikipedia.org/wiki/Wood_Duck,https://fr.wikipedia.org/wiki/Canard_branchu,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Wood_Duck_Wissahickon_Creek.png/500px-Wood_Duck_Wissahickon_Creek.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Wood_Duck_Wissahickon_Creek.png/1024px-Wood_Duck_Wissahickon_Creek.png,https://xeno-canto.org/872894/download,0
Alaemon alaudipes,Greater Hoopoe-Lark,Sirli du désert,3,1202,https://en.wikipedia.org/wiki/Greater_Hoopoe-Lark,https://fr.wikipedia.org/wiki/Sirli_du_d%C3%A9sert,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Greater_Hoopoe_Lark%2C_crop.jpg/500px-Greater_Hoopoe_Lark%2C_crop.jpg,https://upload.wikimedia.org/wikipedia/commons/6/65/Greater_Hoopoe_Lark%2C_crop.jpg,https://xeno-canto.org/951242/download,0
Alauda arvensis,Eurasian Skylark,Alouette des champs,2,38865,https://en.wikipedia.org/wiki/Eurasian_Skylark,https://fr.wikipedia.org/wiki/Alouette_des_champs,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Skylark_2%2C_Lake_District%2C_England_-_June_2009.jpg/500px-Skylark_2%2C_Lake_District%2C_England_-_June_2009.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Skylark_2%2C_Lake_District%2C_England_-_June_2009.jpg/1024px-Skylark_2%2C_Lake_District%2C_England_-_June_2009.jpg,https://xeno-canto.org/974883/download,0
Alauda gulgula,Oriental Skylark,Alouette gulgule,3,182,https://en.wikipedia.org/wiki/Oriental_Skylark,https://fr.wikipedia.org/wiki/Alouette_gulgule,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Oriental_Skylark_Harangi_Coorg_Apr24_D72_26744.jpg/500px-Oriental_Skylark_Harangi_Coorg_Apr24_D72_26744.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Oriental_Skylark_Harangi_Coorg_Apr24_D72_26744.jpg/1024px-Oriental_Skylark_Harangi_Coorg_Apr24_D72_26744.jpg,https://xeno-canto.org/961416/download,0
Alauda leucoptera,White-winged Lark,Alouette leucoptère,3,179,https://en.wikipedia.org/wiki/White-winged_Lark,https://fr.wikipedia.org/wiki/Alouette_leucopt%C3%A8re,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Alauda_leucoptera_57392188.jpg/500px-Alauda_leucoptera_57392188.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Alauda_leucoptera_57392188.jpg/1024px-Alauda_leucoptera_57392188.jpg,https://xeno-canto.org/813215/download,0
